City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Avarua,37,CK,1584217300,74,-21.21,-159.78,84.2,6.93
Moose Factory,1,CA,1584217300,56,51.26,-80.61,15.8,17.22
Cherskiy,100,RU,1584217300,82,68.75,161.3,-8.73,3.13
Kapaa,1,US,1584217254,60,22.08,-159.32,75.2,9.17
Leshukonskoye,100,RU,1584217300,89,64.9,45.76,15.57,8.48
Butaritari,100,KI,1584217301,70,3.07,172.79,83.61,9.13
Klaksvík,100,FO,1584217301,74,62.23,-6.59,35.6,11.41
Saint-Augustin,97,CA,1584217301,79,51.23,-58.65,30.15,16.96
Mar del Plata,0,AR,1584217252,64,-38.0,-57.56,71.01,12.75
Ketchikan,1,US,1584217143,34,55.34,-131.65,37.4,14.99
Whitehorse,20,CA,1584217107,55,60.72,-135.05,25.0,2.24
Santa Cruz de la Sierra,20,BO,1584217299,42,-17.8,-63.17,98.6,12.75
Quba,100,AZ,1584217302,66,41.36,48.52,56.25,5.37
Busselton,98,AU,1584217302,98,-33.65,115.33,66.0,10.11
Flinders,98,AU,1584217062,62,-34.58,150.86,60.01,11.41
Faanui,2,PF,1584217302,77,-16.48,-151.75,83.07,15.75
Kahului,40,US,1584217302,69,20.89,-156.47,80.6,11.41
Dikson,57,RU,1584217032,99,73.51,80.55,-15.75,11.54
Pahrump,75,US,1584217194,50,36.21,-115.98,64.0,20.8
Peddapalli,24,IN,1584217303,62,18.62,79.37,77.31,3.02
Castro,0,BR,1584217303,59,-24.79,-50.01,73.17,2.06
Punta Arenas,75,CL,1584217303,58,-53.15,-70.92,59.0,20.8
Half Moon Bay,40,US,1584217303,87,37.46,-122.43,55.0,9.17
Sangmélima,0,CM,1584217303,84,2.93,11.98,73.17,3.18
Sinnamary,70,GF,1584217303,76,5.38,-52.95,80.19,14.2
Port-Gentil,40,GA,1584217303,89,-0.72,8.78,84.2,5.82
Pisco,100,PE,1584217304,30,-13.7,-76.22,77.0,19.46
Dukat,100,RU,1584217304,97,62.55,155.55,-6.57,2.91
Jamestown,1,US,1584217255,59,42.1,-79.24,39.99,6.93
Raudeberg,76,NO,1584217010,64,61.99,5.14,37.4,20.8
Vila Franca do Campo,20,PT,1584217270,72,37.72,-25.43,60.8,12.75
Sitka,1,US,1584217305,59,57.05,-135.33,37.4,4.38
Hobart,75,AU,1584217305,81,-42.88,147.33,53.01,5.82
Vallenar,19,CL,1584217305,50,-28.57,-70.76,74.61,10.13
Sainte-Marie,100,RE,1584217305,83,-20.9,55.55,78.8,10.29
Salalah,75,OM,1584217305,61,17.02,54.09,77.0,8.05
Cape Town,20,ZA,1584217143,88,-33.93,18.42,69.01,18.34
Atuona,12,PF,1584217306,78,-9.8,-139.03,81.45,12.86
Līsakovsk,100,KZ,1584217306,97,52.54,62.49,34.29,14.65
Namatanai,100,PG,1584217045,74,-3.67,152.43,82.71,5.28
Kyren,100,RU,1584217306,81,51.68,102.14,18.81,8.84
Fort Nelson,20,CA,1584217217,42,58.81,-122.7,8.6,6.93
Nikolskoye,97,RU,1584217306,38,59.7,30.79,26.6,22.37
Savelugu,83,GH,1584217307,41,9.62,-0.83,92.97,9.51
Flin Flon,90,CA,1584217307,50,54.77,-101.86,8.6,4.7
Wawa,4,NG,1584217307,24,9.9,4.42,85.23,3.76
Richards Bay,0,ZA,1584217307,87,-28.78,32.04,77.31,7.52
Port Hardy,5,CA,1584217307,34,50.7,-127.42,35.6,18.34
Weihai,0,CN,1584217307,75,37.5,122.11,40.77,11.72
Xining,100,CN,1584217308,38,36.62,101.77,29.61,3.18
Ossora,90,RU,1584217308,72,59.24,163.07,16.47,7.16
Hofn,100,IS,1584217308,66,64.25,-15.21,31.77,22.03
Methóni,100,GR,1584217308,87,36.82,21.7,61.0,3.36
Sulangan,100,PH,1584217308,81,11.14,123.72,78.75,15.1
Avera,1,US,1584217195,44,33.19,-82.53,80.6,3.36
Ponta do Sol,75,PT,1584217018,63,32.67,-17.1,60.8,11.41
Luau,100,AO,1584217309,97,-10.71,22.22,67.05,1.34
Olafsvik,63,IS,1584217309,70,64.89,-23.71,26.19,12.1
Henties Bay,0,NA,1584217309,92,-22.12,14.28,64.0,4.0
Guantánamo,20,CU,1584217309,55,20.14,-75.21,87.8,13.87
Brae,100,GB,1584217066,87,60.4,-1.35,44.6,16.11
Hattiesburg,1,US,1584217260,42,31.33,-89.29,82.4,3.36
Saint Paul Harbor,1,US,1584217310,59,57.79,-152.41,33.8,5.82
Barrow,90,US,1584217033,92,71.29,-156.79,12.2,34.45
Manicoré,40,BR,1584217310,83,-5.81,-61.3,82.4,3.36
Puerto Nariño,75,CO,1584217310,63,-3.77,-70.38,91.4,4.7
Ambilobe,100,MG,1584217310,85,-13.2,49.05,81.45,14.74
Kiryat Gat,40,IL,1584217311,93,31.61,34.76,59.0,5.82
Arraial do Cabo,40,BR,1584217311,83,-22.97,-42.03,80.6,11.41
Port Elizabeth,20,ZA,1584217311,88,-33.92,25.57,66.2,12.75
Jumla,100,NP,1584217311,94,29.27,82.18,25.65,2.21
Granada,20,ES,1584217173,59,37.19,-3.61,63.0,5.82
Buala,100,SB,1584217311,84,-8.14,159.59,81.63,10.18
Iskateley,19,RU,1584217312,86,67.68,53.15,1.17,3.74
Airai,18,TL,1584217312,83,-8.93,125.41,63.99,2.91
Colares,0,PT,1584217312,77,38.8,-9.45,61.0,14.99
Cidreira,0,BR,1584217022,83,-30.18,-50.21,76.95,16.89
Antalaha,100,MG,1584217017,90,-14.9,50.28,79.11,57.18
Aykhal,70,RU,1584217312,92,66.0,111.5,14.0,8.95
Aksarka,65,RU,1584217312,86,66.56,67.8,0.99,13.73
Kharabali,0,RU,1584217312,74,47.42,47.26,42.93,16.15
Mogadishu,100,SO,1584217287,83,2.04,45.34,82.71,19.71
Chui,60,UY,1584217313,86,-33.7,-53.46,74.07,16.78
Mananjary,44,MG,1584217313,83,-21.22,48.33,79.29,13.13
Norman Wells,75,CA,1584217313,66,65.28,-126.83,14.0,5.82
Skjervøy,100,NO,1584217313,77,70.03,20.97,25.65,21.36
Mbaïki,77,CF,1584217313,27,3.87,17.99,77.31,2.64
Teahupoo,20,PF,1584217314,66,-17.83,-149.27,87.8,5.82
Shetpe,100,KZ,1584217314,59,44.17,52.12,53.91,7.07
Tuktoyaktuk,90,CA,1584217018,85,69.45,-133.04,21.2,26.4
Eureka,75,US,1584217314,81,40.8,-124.16,50.0,8.05
Yellowknife,75,CA,1584216559,54,62.46,-114.35,3.99,12.75
Glendive,90,US,1584217314,68,47.11,-104.71,30.0,26.4
Ilulissat,75,GL,1584217311,71,69.22,-51.1,3.2,9.17
‘Āhuimanu,75,US,1584217315,73,21.44,-157.84,80.6,5.82
Pimenta Bueno,100,BR,1584217315,94,-11.67,-61.19,79.11,5.46
Birjand,97,IR,1584217315,12,32.87,59.22,55.4,13.87
Saldanha,0,ZA,1584217315,88,-33.01,17.94,64.4,9.17
Hong Kong,20,HK,1584217315,56,22.29,114.16,69.01,9.17
Vaini,75,TO,1584217315,83,-21.2,-175.2,82.4,13.87
Dunedin,100,NZ,1584217316,77,-45.87,170.5,57.99,1.01
Saint-François,0,FR,1584217046,80,46.42,3.91,45.0,4.7
Broome,1,US,1584217047,51,42.25,-75.83,46.0,6.93
Kubinka,90,RU,1584217316,85,55.58,36.69,25.0,15.66
Bathsheba,75,BB,1584217316,83,13.22,-59.52,77.0,20.8
Puerto Ayora,20,EC,1584217316,70,-0.74,-90.35,86.0,11.41
Aripuanã,100,BR,1584217316,98,-9.17,-60.63,74.07,5.79
Comodoro Rivadavia,0,AR,1584217217,40,-45.87,-67.5,68.0,12.75
Plettenberg Bay,18,ZA,1584217317,86,-34.05,23.37,64.89,6.91
Itarema,98,BR,1584217317,92,-2.92,-39.92,77.49,4.09
Husavik,40,IS,1584217317,84,66.04,-17.34,6.8,12.75
Yangi Marg`ilon,0,UZ,1584217086,65,40.43,71.72,50.0,6.93
Oktyabr'skiy,100,RU,1584217050,99,54.48,53.47,32.13,4.16
Okha,89,RU,1584217317,96,53.57,142.95,-2.07,3.09
Chengalpattu,20,IN,1584217318,74,12.7,79.98,82.0,3.36
Gushikawa,75,JP,1584217318,54,26.35,127.87,59.0,14.99
Diré,37,ML,1584217318,10,12.28,-10.97,83.79,2.04
Salihorsk,36,BY,1584217318,85,52.79,27.54,27.27,21.9
Sergeevka,100,KZ,1584217318,95,53.88,67.42,33.21,11.34
Lebu,0,CL,1584217311,55,-37.62,-73.65,62.73,13.42
Bharatpur,0,IN,1584217319,48,27.22,77.48,60.39,5.93
Yangambi,7,CD,1584217319,75,0.81,24.43,75.87,3.11
Thompson,20,CA,1584217302,45,55.74,-97.86,5.0,3.36
Beringovskiy,0,RU,1584217033,87,63.05,179.32,15.39,6.89
Baruun-Urt,51,MN,1584217319,93,46.68,113.28,14.31,2.42
Abhā,5,SA,1584217319,82,18.22,42.51,60.8,11.41
Santa Isabel Rio Negro,92,BR,1584217320,56,-0.41,-65.02,89.55,1.7
Karīmpur,100,IN,1584217320,75,23.97,88.62,67.05,9.78
Sørland,100,NO,1584217320,96,67.67,12.69,35.01,23.78
Gravdal,100,NO,1584217320,95,68.12,13.5,35.73,34.61
Hohhot,0,CN,1584217320,62,40.81,111.65,23.0,6.71
Bobo-Dioulasso,14,BF,1584217320,34,11.18,-4.3,93.2,3.36
Nieuw Amsterdam,20,SR,1584217321,62,5.88,-55.08,90.0,11.41
Plyussa,82,RU,1584217321,42,58.43,29.37,26.73,12.5
Qaqortoq,75,GL,1584217321,67,60.72,-46.03,23.0,5.93
Caarapó,0,BR,1584217321,35,-22.63,-54.82,88.47,8.88
Effingham County,75,US,1584217321,53,32.37,-81.33,82.4,14.99
Bubaque,0,GW,1584217321,62,11.28,-15.83,84.15,21.3
Chokurdakh,0,RU,1584217310,97,70.63,147.92,-27.99,2.8
Fortuna,75,US,1584217322,81,40.6,-124.16,50.0,8.05
Mokhotlong,0,LS,1584217322,77,-29.29,29.07,44.01,0.94
Longyearbyen,40,SJ,1584217140,54,78.22,15.64,-0.4,16.11
Kaitangata,100,NZ,1584217047,78,-46.28,169.85,57.99,16.71
Ugoofaaru,49,MV,1584217322,73,5.67,73.0,83.79,7.72
Kaeo,1,NZ,1584217322,100,-35.1,173.78,63.0,11.48
Malindi,40,KE,1584217323,84,-3.22,40.12,86.0,6.93
Arlit,0,NE,1584217323,12,18.74,7.39,74.43,7.83
Ucluelet,20,CA,1584217323,24,48.93,-125.55,44.6,8.05
Killybegs,50,IE,1584217323,81,54.63,-8.45,48.2,9.17
Yar-Sale,98,RU,1584217323,89,66.83,70.83,2.43,16.73
Hilo,90,US,1584217323,83,19.73,-155.09,75.2,3.36
Marquetalia,75,CO,1584217323,82,5.3,-75.06,66.2,3.36
Provideniya,100,RU,1584217324,81,64.38,-173.3,19.89,5.12
Vendôme,20,FR,1584217324,93,47.8,1.07,53.6,4.7
Fereydūnkenār,59,IR,1584217324,100,36.69,52.52,51.8,9.17
Guerrero Negro,0,MX,1584217324,56,27.98,-114.06,67.59,11.63
Sabalgarh,0,IN,1584217324,42,26.25,77.4,60.75,5.08
Mount Gambier,90,AU,1584217324,76,-37.83,140.77,53.6,8.05
San Patricio,20,MX,1584217314,74,19.22,-104.7,86.0,11.41
Kudahuvadhoo,76,MV,1584217325,66,2.67,72.89,84.33,7.02
Yishui,0,CN,1584217325,31,35.78,118.63,41.31,5.44
Bodden Town,20,KY,1584217325,74,19.28,-81.25,84.2,12.75
Taoudenni,0,ML,1584217325,10,22.68,-3.98,74.25,3.98
Ionia,1,US,1584217325,51,42.99,-85.07,37.0,3.36
Rovnoye,29,RU,1584217325,85,50.78,46.05,35.37,8.72
Pala,0,TD,1584217326,11,9.36,14.9,75.51,4.94
Abu Samrah,0,SY,1584217326,80,35.3,37.18,54.45,3.89
Manta,75,EC,1584217326,79,-0.95,-80.73,84.2,3.36
Rocha,52,UY,1584217036,75,-34.48,-54.33,76.41,5.75
Port Blair,25,IN,1584217326,69,11.67,92.75,81.99,6.26
Santa Luzia,40,BR,1584217326,51,-19.77,-43.85,82.4,10.29
Geraldton,40,AU,1584217301,88,-28.77,114.6,73.4,11.41
Charagua,20,BO,1584217327,25,-19.8,-63.22,98.6,5.82
Hambantota,20,LK,1584217327,78,6.12,81.12,78.93,16.26
Yagoua,0,CM,1584217327,12,10.34,15.23,73.53,8.84
Dutlwe,2,BW,1584217327,46,-23.98,23.9,71.73,5.19
George Town,20,MY,1584217167,88,5.41,100.34,82.4,3.62
Dwārka,100,IN,1584217328,52,22.24,68.97,75.69,13.69
Shuyskoye,78,RU,1584217328,81,59.37,41.03,17.73,4.05
Alofi,75,NU,1584217117,83,-19.06,-169.92,82.4,6.93
Bay Roberts,75,CA,1584217060,83,47.6,-53.26,39.0,23.04
Poya,72,NC,1584217329,79,-21.35,165.15,83.25,13.85
Sola,54,VU,1584217062,76,-13.88,167.55,85.41,22.17
Bambous Virieux,75,MU,1584217329,94,-20.34,57.76,77.0,3.36
Batagay-Alyta,0,RU,1584217329,84,67.8,130.41,-29.43,4.16
Nanortalik,100,GL,1584217329,72,60.14,-45.24,20.97,9.06
Cayenne,90,GF,1584217329,62,4.93,-52.33,86.0,11.41
Yulara,0,AU,1584217330,29,-25.24,130.99,77.0,13.87
Lüderitz,0,NA,1584217330,77,-26.65,15.16,68.0,16.11
San Juan de los Morros,0,VE,1584217330,39,9.91,-67.35,83.43,10.71
Mandalī,78,IQ,1584217330,75,33.75,45.55,60.93,13.85
Sura,56,RU,1584217330,94,53.89,45.74,31.77,7.65
Hobyo,10,SO,1584217331,79,5.35,48.53,80.01,14.94
Atasū,17,KZ,1584217331,77,48.68,71.64,30.51,5.46
Severo-Kuril'sk,0,RU,1584217331,81,50.68,156.12,12.87,4.76
Hasaki,75,JP,1584217307,100,35.73,140.83,33.8,4.7
Iaçu,100,BR,1584217331,86,-12.77,-40.21,70.83,8.3
Tra Vinh,84,VN,1584217331,77,9.93,106.35,78.39,11.68
Belaya Gora,41,RU,1584217332,89,68.53,146.42,-29.97,1.77
El Salvador,40,SV,1584217129,55,13.83,-88.92,89.6,6.93
Southern Pines,90,US,1584217327,29,35.17,-79.39,71.01,5.82
Muros,7,ES,1584217332,81,42.78,-9.06,55.99,3.36
Codrington,1,AU,1584217332,71,-38.27,141.97,58.95,15.66
Ayan,0,RU,1584217049,68,56.45,138.17,-6.39,11.72
Okhotsk,100,RU,1584217332,87,59.38,143.3,0.99,5.95
Kismayo,73,SO,1584217332,83,-0.36,42.55,82.35,14.16
La Roche-sur-Yon,90,FR,1584217333,81,46.67,-1.43,51.8,3.36
Kuril'sk,100,RU,1584217333,81,45.23,147.88,26.73,10.51
Vao,100,NC,1584217333,82,-22.67,167.48,83.25,21.39
Weiser,90,US,1584217077,37,44.25,-116.97,51.8,12.75
Atherton,90,GB,1584217333,81,53.52,-2.49,52.0,9.17
Hauterive,0,FR,1584217334,70,46.09,3.45,46.99,4.7
Nouadhibou,0,MR,1584217334,73,20.93,-17.03,69.8,19.46
Fairlie,100,GB,1584217334,87,55.76,-4.86,50.0,27.51
Solnechnyy,18,RU,1584217334,87,50.72,136.63,2.79,6.73
Pangnirtung,5,CA,1584217334,67,66.15,-65.71,-22.0,3.36
Ulladulla,54,AU,1584217334,62,-35.35,150.47,53.6,6.93
Saskylakh,95,RU,1584217334,95,71.92,114.08,1.35,10.71
Nome,90,US,1584217259,99,64.5,-165.41,32.0,4.7
Iqaluit,20,CA,1584217335,62,63.75,-68.51,-14.01,14.99
Christchurch,93,NZ,1584217285,87,-43.53,172.63,62.01,2.24
Kawalu,97,ID,1584217335,96,-7.38,108.21,70.83,1.43
Soubre,97,CI,1584217335,79,5.79,-6.61,79.65,5.19
Codó,91,BR,1584217335,81,-4.46,-43.89,80.91,1.63
Yumen,100,CN,1584217075,26,40.28,97.2,35.37,12.53
Bonavista,68,CA,1584217336,80,48.65,-53.11,37.0,18.01
Dyersburg,90,US,1584217336,93,36.03,-89.39,57.2,9.17
Ahipara,0,NZ,1584217336,100,-35.17,173.17,63.0,3.29
Marawi,1,PH,1584217336,85,8.0,124.29,75.0,1.01
Mujiayingzi,30,CN,1584217336,53,42.12,118.78,24.75,22.3
Sibolga,41,ID,1584217337,95,1.74,98.78,71.55,3.31
Oromocto,90,CA,1584217337,37,45.84,-66.48,39.99,23.04
Donskoye,75,RU,1584217337,70,45.46,41.97,44.6,8.95
Kirakira,97,SB,1584217337,82,-10.45,161.92,81.27,12.1
Tongliao,54,CN,1584217337,63,43.61,122.27,20.79,19.71
Fairbanks,90,US,1584217337,72,64.84,-147.72,19.0,4.7
Ulaangom,78,MN,1584217337,98,49.98,92.07,-3.51,1.1
Buhovo,90,BG,1584217338,93,42.77,23.57,44.01,4.7
Krasnosel'kup,100,RU,1584217338,97,65.7,82.47,31.95,14.45
Rauma,26,FI,1584217338,85,61.13,21.51,17.6,3.36
Sosnovo-Ozerskoye,0,RU,1584217338,94,52.52,111.54,12.33,2.77
Laas,40,IT,1584217315,93,46.62,10.7,39.99,3.36
Mbinga,40,TZ,1584217338,88,-10.93,35.02,73.4,2.24
Shirokiy,100,RU,1584217338,91,49.76,129.52,6.39,9.1
Borogontsy,96,RU,1584217339,99,62.67,131.17,-16.29,3.11
Necochea,0,AR,1584217339,74,-38.55,-58.74,69.01,7.0
Grindavik,40,IS,1584217049,68,63.84,-22.43,26.6,11.41
San Ramon,90,US,1584217147,87,37.78,-121.98,55.4,11.41
Mossamedes,100,AO,1584217339,75,-15.2,12.15,76.23,4.09
Bowen,100,AU,1584217340,88,-20.02,148.23,70.0,3.38
Hay River,75,CA,1584217340,39,60.82,-115.8,10.4,17.22
Nysa,0,PL,1584217340,54,50.47,17.33,27.0,1.01
Ancud,34,CL,1584217340,59,-41.87,-73.82,60.8,6.93
Kruisfontein,42,ZA,1584217340,93,-34.0,24.73,62.19,7.58
Bañón,0,ES,1584217340,87,40.84,-1.19,53.6,2.24
Agadez,0,NE,1584217341,16,19.75,10.25,63.99,3.98
Sanming,0,CN,1584217341,88,26.25,117.62,43.83,1.68
Visby,0,SE,1584217336,55,57.64,18.3,35.01,11.41
Huangmei,0,CN,1584217064,64,30.19,116.03,51.21,5.06
Lingao,71,CN,1584217343,84,19.91,109.69,70.83,19.86
Sur,100,OM,1584217343,32,22.57,59.53,68.67,6.17
Takaka,10,NZ,1584217343,86,-40.85,172.8,62.01,1.99
São João da Barra,20,BR,1584217343,70,-21.64,-41.05,84.2,9.17
Noumea,90,NC,1584217344,94,-22.28,166.46,81.0,3.36
Huzhou,0,CN,1584217344,60,30.87,120.09,50.0,7.99
Te Anau,100,NZ,1584217344,69,-45.42,167.72,51.03,2.48
Rudnaya Pristan',91,RU,1584217344,77,44.36,135.81,22.05,5.26
Māngrol,100,IN,1584217344,50,21.12,70.12,75.69,11.88
Egvekinot,0,RU,1584217313,76,66.32,-179.17,2.43,3.96
Nara,75,JP,1584217344,97,34.69,135.8,46.0,2.24
Rodrigues Alves,40,BR,1584217345,66,-7.74,-72.65,89.6,3.36
Dutse,74,NG,1584217345,16,11.76,9.34,70.83,8.48
Pendleton,90,US,1584217345,86,45.67,-118.79,33.01,10.29
Kimbe,100,PG,1584217345,93,-5.55,150.14,77.49,2.53
Caucayá,99,CO,1584217107,71,-0.19,-74.78,81.45,3.58
Esmeraldas,40,BR,1584217345,54,-19.76,-44.31,82.4,8.05
Calderitas,75,MX,1584217345,69,18.55,-88.25,82.4,17.22
Ābyek,75,IR,1584217346,43,36.07,50.55,55.4,9.17
Deputatsky,0,RU,1584217346,98,69.3,139.9,-35.91,1.28
Batemans Bay,0,AU,1584217232,71,-35.72,150.18,53.01,5.01
Nabire,100,ID,1584217346,97,-3.37,135.48,71.01,2.13
Kirkwall,100,GB,1584217155,87,58.98,-2.96,44.6,17.22
Constitución,67,CL,1584217346,50,-35.33,-72.42,65.79,12.33
Turbat,96,PK,1584217346,34,26.0,63.04,67.59,1.57
Hithadhoo,85,MV,1584217347,64,-0.6,73.08,83.07,4.07
Hede,0,CN,1584217347,57,33.77,120.25,44.91,13.73
Haines Junction,0,CA,1584217347,68,60.75,-137.51,25.29,1.9
Dhone,0,IN,1584217347,57,15.42,77.88,75.33,14.27
Bilibino,100,RU,1584216511,80,68.05,166.44,-11.61,4.76
North Bend,90,US,1584217347,86,43.41,-124.22,45.0,9.17
Nemuro,100,JP,1584217347,71,43.32,145.57,30.51,14.34
Lavrentiya,100,RU,1584217348,57,65.58,-171.0,20.07,4.83
Nizhniy Kuranakh,97,RU,1584217348,95,58.84,125.49,-11.97,4.07
Ashcroft,20,CA,1584217348,24,50.72,-121.29,23.0,20.8
Paamiut,100,GL,1584217348,71,61.99,-49.67,6.57,9.01
Örnsköldsvik,28,SE,1584217348,62,63.29,18.72,24.8,6.93
Laguna,90,US,1584217193,76,38.42,-121.42,57.99,11.41
Manavālakurichi,20,IN,1584217349,74,8.13,77.3,82.4,3.36
Labuhan,89,ID,1584217349,92,-6.88,112.21,75.69,2.42
Payakumbuh,8,ID,1584217349,98,-0.22,100.63,66.51,1.14
Las Vegas,40,US,1584217256,39,36.17,-115.14,64.99,13.87
Kangaatsiaq,100,GL,1584217349,86,68.31,-53.46,-0.63,7.78
Inuvik,90,CA,1584217349,58,68.35,-133.72,24.8,12.57
Malandag,100,PH,1584217349,89,6.31,125.24,66.87,0.49
Mount Isa,42,AU,1584217349,53,-20.73,139.5,71.6,6.85
Vestmanna,100,FO,1584217350,74,62.16,-7.17,35.6,11.41
Nantucket,1,US,1584217147,45,41.28,-70.1,53.6,12.75
Tiznit Province,41,MA,1584217351,85,29.58,-9.5,54.09,3.78
Gizo Government Station,99,SB,1584217351,86,-8.1,156.84,79.29,8.93
Sambava,100,MG,1584217351,97,-14.27,50.17,72.63,7.31
Panalingaan,42,PH,1584217352,83,8.78,117.42,79.47,12.33
Gorontalo,78,ID,1584217352,93,0.54,123.06,72.63,4.29
Westport,1,US,1584217157,28,41.14,-73.36,55.99,14.99
San Andrés,20,CO,1584217353,74,12.58,-81.7,84.2,12.75
Villanueva de Córdoba,98,ES,1584217353,77,38.32,-4.63,60.8,2.24
Vila do Maio,70,CV,1584217353,36,15.13,-23.22,80.6,19.46
Kalmunai,43,LK,1584217353,75,7.42,81.82,81.09,10.33
Otane,7,NZ,1584217353,85,-39.88,176.63,60.01,3.47
Leh,74,IN,1584217354,61,34.17,77.58,11.43,1.95
Mahon,0,ES,1584217354,81,39.89,4.27,51.8,5.82
Huaicheng,94,CN,1584217354,73,23.91,112.19,60.21,2.48
San Cristobal,75,VE,1584217354,62,7.77,-72.22,84.2,9.17
Padang,83,ID,1584217354,93,-0.95,100.35,68.31,4.54
Ingham,40,US,1584217354,59,42.6,-84.38,37.4,5.82
Pangkalanbuun,52,ID,1584217354,84,-2.68,111.62,73.71,1.43
Cabo San Lucas,20,MX,1584217108,42,22.89,-109.91,82.4,19.46
Vuktyl,93,RU,1584217216,97,63.86,57.31,23.49,5.28
Sonoita,0,MX,1584217355,48,31.85,-112.83,66.99,15.1
Okato,0,NZ,1584217355,63,-39.2,173.88,64.0,5.01
Terrace,5,CA,1584217355,27,54.52,-128.6,24.8,14.99
Winnemucca,75,US,1584217355,20,40.97,-117.74,57.2,24.16
Bossangoa,0,CF,1584217356,15,6.49,17.46,72.09,1.12
Ft. Pierce,40,US,1584217222,61,27.45,-80.33,84.0,14.99
Nhulunbuy,73,AU,1584217356,94,-12.23,136.77,75.2,2.91
Östersund,40,SE,1584217337,45,63.18,14.64,26.6,11.41
Pascagoula,1,US,1584217356,57,30.37,-88.56,82.99,8.05
Nentón,61,GT,1584217356,65,15.8,-91.75,70.29,7.78
Korla,100,CN,1584217357,60,41.76,86.15,39.0,1.01
Rabo de Peixe,20,PT,1584217357,72,37.8,-25.58,60.8,12.75
Quatre Cocos,75,MU,1584217069,94,-20.21,57.76,77.0,3.36
Kirando,72,TZ,1584217357,77,-7.42,30.6,75.87,5.21
Lata,0,PT,1584217357,87,40.16,-8.33,57.0,2.68
Saint George,40,US,1584217133,55,37.1,-113.58,60.8,11.41
Tarpon Springs,40,US,1584217353,45,28.15,-82.76,90.0,3.36
Lagoa,27,PT,1584217358,78,39.05,-27.98,59.85,9.8
Polewali,99,ID,1584217358,82,-3.43,119.34,73.53,2.26
Churapcha,96,RU,1584217358,98,62.0,132.43,-12.33,4.36
Coyhaique,75,CL,1584217358,51,-45.58,-72.07,59.0,3.36
